Wall time,Step,Value
1624449122.833921,100,0.09404297173023224
1624449222.421562,200,0.06520814448595047
1624449322.054995,300,0.04756540805101395
1624449421.562755,400,0.05205414444208145
1624449521.864321,500,0.055963411927223206
1624449621.344687,600,0.042184263467788696
1624449720.825672,700,0.03446241095662117
1624449820.296917,800,0.03548335283994675
1624449919.776733,900,0.04322303831577301
1624450019.270998,1000,0.04436411336064339
1624450119.421897,1100,0.03294945880770683
1624450218.940423,1200,0.03099874034523964
1624450318.457268,1300,0.045182835310697556
1624450417.935371,1400,0.04303896427154541
1624450517.432513,1500,0.038548462092876434
1624450616.920286,1600,0.04162486270070076
1624450716.613027,1700,0.03317701071500778
1624450817.091818,1800,0.04799659177660942
1624450918.198487,1900,0.04865160956978798
1624451018.282107,2000,0.04416022449731827
1624451118.291269,2100,0.031601935625076294
1624451217.718806,2200,0.03423647582530975
1624451317.249534,2300,0.038395192474126816
1624451416.71601,2400,0.0222366601228714
1624451516.112291,2500,0.03548944741487503
1624451615.613946,2600,0.03857121616601944
1624451715.615644,2700,0.030219921842217445
1624451815.083039,2800,0.02952708676457405
1624451914.45865,2900,0.036922428756952286
1624452013.863562,3000,0.02856173738837242
1624452113.695458,3100,0.027344003319740295
1624452212.981212,3200,0.023827970027923584
1624452313.122386,3300,0.030489934608340263
1624452412.580047,3400,0.026063449680805206
1624452512.01938,3500,0.02753918059170246
1624452611.390473,3600,0.026059046387672424
1624452710.8633,3700,0.03118913248181343
1624452810.192715,3800,0.02271251007914543
1624452909.560876,3900,0.025414984673261642
1624453009.073209,4000,0.03288400173187256
1624453108.864256,4100,0.023497406393289566
1624453208.331863,4200,0.025407476350665092
1624453307.775425,4300,0.022722404450178146
1624453407.223517,4400,0.03585432097315788
1624453506.770061,4500,0.02568664215505123
1624453606.133755,4600,0.02917243354022503
1624453705.61034,4700,0.02156934328377247
1624453805.084048,4800,0.026593048125505447
1624453906.367999,4900,0.032271094620227814
1624454006.59887,5000,0.020461779087781906
1624454106.885931,5100,0.04179491847753525
1624454207.836312,5200,0.04574627801775932
1624454307.322163,5300,0.019614966586232185
1624454406.839566,5400,0.028036493808031082
1624454506.41747,5500,0.022767743095755577
1624454605.803754,5600,0.026960376650094986
1624454705.308273,5700,0.026193371042609215
1624454804.81686,5800,0.03149807080626488
1624454904.295759,5900,0.0351695790886879
1624455003.859594,6000,0.021482061594724655
1624455103.658143,6100,0.019021911546587944
1624455203.095423,6200,0.022189516574144363
1624455302.589417,6300,0.018905241042375565
1624455402.045753,6400,0.018603909760713577
1624455501.595325,6500,0.012761689722537994
1624455601.057872,6600,0.019438009709119797
1624455700.43753,6700,0.017343977466225624
1624455799.964203,6800,0.019265970215201378
1624455899.396181,6900,0.018513482064008713
1624455998.979059,7000,0.01984560303390026
1624456098.818223,7100,0.027798069640994072
1624456199.013985,7200,0.021947316825389862
1624456298.435136,7300,0.01624145172536373
1624456398.125889,7400,0.012654516845941544
1624456497.748399,7500,0.015262109227478504
1624456597.204593,7600,0.020145898684859276
1624456696.770669,7700,0.018929440528154373
1624456798.299702,7800,0.019488878548145294
1624456897.820993,7900,0.028214940801262856
1624456997.364417,8000,0.02523692511022091
1624457097.200823,8100,0.01580045372247696
1624457196.772599,8200,0.020122559741139412
1624457296.259333,8300,0.021223796531558037
1624457395.901819,8400,0.015298034064471722
1624457495.369652,8500,0.01772058568894863
1624457594.88543,8600,0.02081357128918171
1624457694.373387,8700,0.018778275698423386
1624457793.838424,8800,0.02113066241145134
1624457893.387495,8900,0.013790011405944824
1624457993.70546,9000,0.018131515011191368
1624458094.12864,9100,0.013505766168236732
1624458193.56219,9200,0.016608871519565582
1624458293.141743,9300,0.014346874319016933
1624458392.676284,9400,0.014529549516737461
1624458492.674594,9500,0.012495744973421097
1624458592.713045,9600,0.009718342684209347
1624458692.200985,9700,0.01607481949031353
1624458791.633295,9800,0.012337720021605492
1624458891.138326,9900,0.01431251596659422
1624458990.646747,10000,0.008376856334507465
1624459091.762058,10100,0.015610944479703903
1624459193.25618,10200,0.012088014744222164
1624459292.860902,10300,0.015683967620134354
1624459392.553793,10400,0.011560168117284775
1624459493.394588,10500,0.03386293351650238
1624459592.878184,10600,0.03299236297607422
1624459692.332779,10700,0.02393680438399315
1624459791.843016,10800,0.02463063970208168
1624459891.381091,10900,0.014617019332945347
1624459990.900606,11000,0.014690202660858631
1624460090.768838,11100,0.012201882898807526
1624460190.275001,11200,0.013168961741030216
1624460289.750045,11300,0.012299150228500366
1624460389.238475,11400,0.010473247617483139
1624460488.674741,11500,0.009995733387768269
1624460588.216111,11600,0.009318546392023563
1624460687.63682,11700,0.011287648230791092
1624460787.144907,11800,0.014813989400863647
1624460886.611731,11900,0.007971801795065403
1624460986.04027,12000,0.010298963636159897
1624461085.905181,12100,0.010650593787431717
1624461185.419729,12200,0.011274058371782303
1624461284.930382,12300,0.008677643723785877
1624461384.499864,12400,0.015519008971750736
1624461484.07074,12500,0.00909380055963993
1624461583.433738,12600,0.010327478870749474
1624461683.202486,12700,0.010230877436697483
1624461783.527299,12800,0.019726213067770004
1624461883.04563,12900,0.010900688357651234
1624461982.668454,13000,0.010300228372216225
1624462082.69894,13100,0.013527647592127323
1624462182.331594,13200,0.00831089448183775
1624462281.883616,13300,0.007850893773138523
1624462381.525121,13400,0.007548704743385315
1624462481.135292,13500,0.009019165299832821
1624462580.733436,13600,0.00865083746612072
1624462680.367577,13700,0.00634969025850296
1624462780.175061,13800,0.0092610539868474
1624462879.818525,13900,0.009672865271568298
1624462979.524108,14000,0.011047515086829662
1624463079.41287,14100,0.006582625675946474
1624463179.044722,14200,0.007868648506700993
1624463278.646388,14300,0.012093840166926384
1624463378.150486,14400,0.018808525055646896
1624463477.753797,14500,0.012693523429334164
1624463577.379365,14600,0.012502520345151424
1624463676.982526,14700,0.008292192593216896
1624463776.622881,14800,0.009466458112001419
1624463876.155513,14900,0.014491179026663303
1624463975.78562,15000,0.009243899025022984
1624464076.092331,15100,0.006295221392065287
1624464175.950902,15200,0.006677525583654642
1624464275.674374,15300,0.008460305631160736
1624464375.362212,15400,0.006374999415129423
1624464474.980759,15500,0.005487045738846064
1624464574.926704,15600,0.008078048005700111
1624464674.913984,15700,0.0065200855024158955
1624464774.525168,15800,0.0077358721755445
1624464874.136308,15900,0.0063986945897340775
1624464973.809508,16000,0.005255397874861956
1624465073.90002,16100,0.010656706057488918
1624465173.622722,16200,0.005050798412412405
1624465273.242387,16300,0.004776713903993368
1624465372.795469,16400,0.005922866519540548
1624465472.477716,16500,0.004646657966077328
1624465572.078703,16600,0.010145783424377441
1624465671.664672,16700,0.006165815982967615
1624465772.009381,16800,0.005915791727602482
1624465871.579587,16900,0.00849759578704834
1624465971.186884,17000,0.005343080032616854
1624466071.246178,17100,0.004272085148841143
1624466170.876116,17200,0.00543443625792861
1624466270.489697,17300,0.004678637720644474
1624466370.078854,17400,0.005021655932068825
1624466469.620922,17500,0.005650087725371122
1624466569.187382,17600,0.005854659713804722
1624466668.7078,17700,0.0040251691825687885
1624466768.312847,17800,0.005790517665445805
1624466867.744881,17900,0.004280408378690481
1624466968.519336,18000,0.003868126543238759
1624467068.562931,18100,0.005220052320510149
1624467168.098631,18200,0.005235451273620129
1624467267.651872,18300,0.004429887980222702
1624467367.291685,18400,0.004593356512486935
1624467467.324042,18500,0.00402631564065814
1624467567.775964,18600,0.003020109375938773
1624467667.447454,18700,0.004500462207943201
